Ich habe keinen Hunger;Du hast nicht recht;; Я не голоден;Ты не прав;;KEIN = НИКАКОЙ (на месте неопределенного артикля), NICHT перед прилагательным (без существительного)
Ihr seht niemanden; Wir haben nichts zu essen;Вы не видите никого;У нас нет ничего поесть;NIEMAND - никто, NICHTS - ничто
Ich kann nicht schwimmen; Du solltest das nicht machen; Я не умею плавать;Тебе не следует этого делать;NICHT при наличии двух глаголов перед вторым глаголом
Sie will keinen schwarzen Kaffee. (kein отрицает неопределенное существительное); Она не хочет черный кофе;KEIN = НИКАКОЙ (на месте неопределенного артикля)
Sie mag kein Fleisch;Wir haben nie Zeit;Она не любит мясо; У нас никогда нет времени;KEIN = НИКАКОЙ (на месте неопределенного артикля), NIE - никогда
Ihr Kinder habt noch nicht genug gelernt; Вы, дети, еще недостаточно учились;NICHT перед наречием/предлогом
Du darfst das nicht essen. (nicht при наличии модального глагола перед вторым глаголом); Ты не должен есть это.
Sie findet nichts Interessantes. (nicht перед прилагательным); Она ничего интересного не находит.
Wir wollen keinen Ärger. (kein отрицает неопределенное существительное); Мы не хотим неприятностей.
Ihr habt nichts zu verlieren. (nicht перед предлогом); У вас нет ничего, что можно потерять.
Ich mag keine laute Musik;Ich sehe niemanden Я не люблю громкую музыку;Я никого не вижу;KEIN = НИКАКОЙ (на месте неопределенного артикля), NIEMAND - никто
Wir können das nicht machen. (nicht при наличии модального глагола перед вторым глаголом); Мы не можем это сделать.
Ihr Eltern habt nie Zeit. (nie = никогда); У вас, родители, никогда нет времени.
Ihr habt noch nichts erreicht. (nichts = ничего); Вы еще ничего не достигли.
Sie will keinen Tee. (kein отрицает неопределенное существительное); Она не хочет чая.
Sie spricht Deutsch nicht. (nicht в конце предложения, если один глагол и нет ни предлогов, ни прилагательных); Она не говорит по-немецки.
Er kommt heute nicht; Er kommt nicht heute;(nicht в конце предложения, если один глагол и нет ни предлогов, ни прилагательных); Он не придет сегодня; Он придет не сегодня;
Wir haben das Buch nicht. (nicht отрицает определенное существительное); У нас нет этой книги.
Sie geht nicht ins Kino. (nicht в конце предложения, если один глагол и нет ни предлогов, ни прилагательных); Она не идет в кино.
Der Film gefällt mir nicht. (nicht в конце предложения, если один глагол и нет ни предлогов, ни прилагательных); Мне не нравится этот фильм.
Ohne dich fühle ich mich einsam. (ohne = без); Без тебя я чувствую себя одиноко.
Ich kann ohne Brille nicht gut sehen. (ohne = без); Я не могу хорошо видеть без очков.
Ich fahre oft in die Schule ohne meine Schwester. (ohne = без); Я часто езжу в школу без моей сестры.
Er hat das Buch ohne Erlaubnis genommen. (ohne = без); Он взял книгу без разрешения.
Wir gehen ohne Regenschirm nicht raus. (ohne = без); Мы не выходим на улицу без зонта.
Kannst du ohne Musik arbeiten? (ohne = без); Можешь работать без музыки?
Ohne Fleiß kein Preis. (ohne = без); Без труда не вытащишь и рыбку из пруда. (Дословно: без прилежания нет награды.)
Ohne Geld geht es nicht. ; Без денег никак.
Wir haben den Bus nicht. (nicht отрицает определенное существительное); У нас нет этого автобуса.
